row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate
0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.358,0.089,0.253,0.099,0.494,0.2,0.195,0.044,0.517,0.378,0.056,0,0.223895582,0.345381526,0.27309237,0.157630522,10,11,0.345,0.219,0.159,0.154,,0.317,12,9.33,33.75,5429,6949,b,22.6
2,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.503,0.057,0.171,0.065,0.503,0.243,0.166,0.017,0.016,0.954,0.002,0.018,0.113524186,0.484698914,0.235932873,0.165844028,12,11,0.296,0.222,0.123,0.08,0.177,0.35,14,2.1,23.81,3060,1749,b,17.3
4,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.471,0.07,0.297,0.122,0.497,0.25,0.178,0.554,0.002,0.428,0.009,0.008,0.236345581,0.309831182,0.315789474,0.138033764,10,11,0.267,,0.092,0.079,,0.259,10,,,690,,b,24.4
5,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.578,0.049,0.231,0.107,0.474,0.194,0.196,0.031,0.002,0.916,0.043,0.002,0.091365462,0.388554217,0.34939759,0.170682731,7,13,0.272,0.293,0.084,0.1,0.174,0.249,11,,23.11,1430,1160,b,16.4
8,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.53,0.046,0.262,0.067,0.513,0.206,0.101,0.433,0.096,0.294,0.011,0.149,0.171597633,0.266272189,0.190335306,0.371794872,15,6,0.232,0.165,0.08,0.086,0.178,0.253,11,3.4,3.68,1700,1870,a,17.4
9,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.481,0.065,0.158,0.041,0.513,0.222,0.212,0.009,0,0.966,0.012,0.004,0.080726539,0.373360242,0.345105954,0.200807265,11,12,0.302,0.268,0.112,0.055,,0.302,11,,20.14,4649,3139,a,12.2
10,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.458,0.045,0.193,0.102,0.485,0.194,0.286,0.025,0.005,0.954,0.005,0,0.064908722,0.400608519,0.388438134,0.146044625,9,12,0.32,0.099,0.151,0.049,,0.303,11,,,3039,,a,12.6
11,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.413,0.09,0.244,0.054,0.53,0.242,0.194,0.021,0.428,0.548,0.002,0,0.177932406,0.42445328,0.274353877,0.123260437,14,12,0.367,0.262,0.132,0.142,0.167,0.354,11,,30.64,6989,7030,a,25
12,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.475,0.058,0.21,0.083,0.497,0.295,0.101,0.088,0,0.895,0.01,0.006,0.096056623,0.364004045,0.341759353,0.19817998,15,7,0.304,0.174,0.075,0.093,0.133,0.263,12,,24.01,1510,2619,b,10.1
13,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.375,0.08,0.229,0.062,0.504,0.222,0.184,0.029,0.005,0.953,0.008,0,0.310797175,0.365287588,0.229061554,0.094853683,14,13,0.308,0.21,0.101,0.113,,0.337,13,,46.28,3379,2569,a,26
