,row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate,prediction_label
0,0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.358,0.089,0.253,0.099,0.494,0.2,0.195,0.044,0.517,0.378,0.056,0,0.22389558,0.34538153,0.27309236,0.15763052,10,11,0.345,0.219,0.159,0.154,,0.317,12,9.33,33.75,5429,6949,b,22.6,27.91799995
1,2,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.503,0.057,0.171,0.065,0.503,0.243,0.166,0.017,0.016,0.954,0.002,0.018,0.11352418,0.48469892,0.23593287,0.16584402,12,11,0.296,0.222,0.123,0.08,0.177,0.35,14,2.1,23.81,3060,1749,b,17.3,12.69
2,4,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.471,0.07,0.297,0.122,0.497,0.25,0.178,0.554,0.002,0.428,0.009,0.008,0.23634557,0.30983117,0.31578946,0.13803376,10,11,0.267,,0.092,0.079,,0.259,10,,,690,,b,24.4,24.39999962
3,5,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.578,0.049,0.231,0.107,0.474,0.194,0.196,0.031,0.002,0.916,0.043,0.002,0.091365464,0.38855422,0.3493976,0.17068273,7,13,0.272,0.293,0.084,0.1,0.174,0.249,11,,23.11,1430,1160,b,16.4,16.39999962
4,8,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.53,0.046,0.262,0.067,0.513,0.206,0.101,0.433,0.096,0.294,0.011,0.149,0.17159763,0.2662722,0.1903353,0.37179488,15,6,0.232,0.165,0.08,0.086,0.178,0.253,11,3.4,3.68,1700,1870,a,17.4,17.39999962
5,9,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.481,0.065,0.158,0.041,0.513,0.222,0.212,0.009,0,0.966,0.012,0.004,0.08072654,0.37336025,0.34510595,0.20080726,11,12,0.302,0.268,0.112,0.055,,0.302,11,,20.14,4649,3139,a,12.2,12.19999981
6,10,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.458,0.045,0.193,0.102,0.485,0.194,0.286,0.025,0.005,0.954,0.005,0,0.06490872,0.4006085,0.38843814,0.14604463,9,12,0.32,0.099,0.151,0.049,,0.303,11,,,3039,,a,12.6,12.60000038
7,11,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.413,0.09,0.244,0.054,0.53,0.242,0.194,0.021,0.428,0.548,0.002,0,0.17793241,0.4244533,0.2743539,0.12326044,14,12,0.367,0.262,0.132,0.142,0.167,0.354,11,,30.64,6989,7030,a,25,25
8,12,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.475,0.058,0.21,0.083,0.497,0.295,0.101,0.088,0,0.895,0.01,0.006,0.096056625,0.36400405,0.34175935,0.19817998,15,7,0.304,0.174,0.075,0.093,0.133,0.263,12,,24.01,1510,2619,b,10.1,11.92100003
9,13,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.375,0.08,0.229,0.062,0.504,0.222,0.184,0.029,0.005,0.953,0.008,0,0.31079718,0.3652876,0.22906156,0.094853684,14,13,0.308,0.21,0.101,0.113,,0.337,13,,46.28,3379,2569,a,26,26
10,15,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.823,0.033,0.248,0.121,0.484,0.25,0.15,0.786,0.014,0.189,0.011,0.003,0.31409,0.3336595,0.19765167,0.15459883,10,7,0.301,,0.1,,,0.279,9,,,,,b,17.9,17.89999962
11,17,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.393,0.104,0.265,0.077,0.529,0.265,0.13,0.027,0.486,0.475,0,0,0.21471775,0.39919356,0.29133064,0.09475806,14,12,0.358,0.092,0.131,0.128,,0.312,13,10.79,31.88,11689,2609,b,31.9,31.89999962
12,21,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.446,0.116,0.313,0.096,0.502,0.312,0.097,0.621,0.011,0.315,0.028,0.039,0.31919193,0.25656566,0.289899,0.13434343,17,7,0.28,0.142,0.08,0.061,0.189,0.2,10,8.7,16.87,2139,2349,a,27.4,27.39999962
13,22,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.495,0.026,0.235,0.14,0.494,0.21,0.231,0.025,0.001,0.945,0.007,0.003,0.152,0.369,0.282,0.197,13,17,0.277,,0.099,,,0.321,10,,,,,a,9.8,9.800000191
14,23,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.457,0.079,0.33,0.161,0.502,0.257,0.154,0.392,0.11,0.466,0.016,0.029,0.2264529,0.35771543,0.26252505,0.15330662,15,10,0.298,0.238,0.111,0.089,,0.288,9,9.31,18.79,3350,3060,b,22,22
15,25,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.479,0.036,0.225,0.098,0.503,0.285,0.183,0.02,0.002,0.607,0.353,0.009,0.13239719,0.38014042,0.32998997,0.15747242,18,10,0.364,0.223,0.121,0.056,0.181,0.3,12,,24.68,1760,1460,b,21.3,21.29999924
16,27,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.525,0.042,0.332,0.2,0.472,0.299,0.103,0.645,0.021,0.312,0.007,0.011,0.3188119,0.37128714,0.20594059,0.103960395,16,5,0.296,,0.091,0.058,,0.269,11,,,,1729,a,8.8,14.93899997
17,29,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.46,0.066,0.158,0.065,0.513,0.247,0.163,0.024,0.057,0.883,0,0.001,0.078373015,0.4097222,0.31646827,0.19543651,11,11,0.306,0.232,0.103,0.087,0.181,0.282,8,,18.63,2389,2100,a,16.8,16.79999924
18,35,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.531,0.061,0.307,0.125,0.512,0.223,0.152,0.276,0.274,0.399,0,0.043,0.10885046,0.2716175,0.3041709,0.31536114,12,8,0.25,0.146,0.089,0.08,0.154,0.228,11,5.3,11.28,1479,1339,a,13.9,14.19199983
19,36,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.463,0.064,0.197,0.061,0.532,0.198,0.134,0.037,0.285,0.618,0,0.022,0.11213048,0.24362895,0.30784914,0.33639145,13,10,0.339,0.245,0.114,0.072,0.175,0.268,13,2.37,7.13,1159,779,b,24.5,24.5
20,37,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.632,0.031,0.153,0.056,0.499,0.143,0.14,0.151,0.049,0.411,0.002,0.338,0.12701613,0.12600806,0.20967741,0.5372984,11,7,0.146,0.102,0.063,0.063,0.213,0.154,8,6.2,3.55,709,620,a,11.3,11.30000019
21,39,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.657,0.039,0.136,0.039,0.49,0.213,0.175,0.013,0.001,0.964,0,0.008,0.09036743,0.3535253,0.35650447,0.19960278,10,10,0.313,0.203,0.114,0.065,0.26,0.27,13,,20.29,3609,2910,a,8.7,8.699999809
22,42,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.499,0.044,0.145,0.025,0.506,0.226,0.131,0.042,0.107,0.784,0.001,0.014,0.06779661,0.22033899,0.3529412,0.35892323,12,8,0.286,0.183,0.081,0.08,0.163,0.19,13,3.5,8.87,1509,1039,a,16.2,16.20000076
23,43,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Farm-dependent,0.451,0.059,0.208,0.085,0.514,0.217,0.152,0.011,0.325,0.622,0.005,0,0.15575397,0.36607143,0.3452381,0.13293651,10,7,0.337,,0.137,0.111,,0.303,12,,27.93,11929,12039,b,16.3,16.29999924
24,44,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.525,0.046,0.136,0.033,0.512,0.242,0.144,0.072,0.012,0.893,0.013,0,0.11431412,0.35685885,0.3300199,0.19880715,13,9,0.347,0.218,0.108,0.08,0.212,0.285,9,2.7,11.85,2099,2159,a,14.2,14.19999981
